Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
SAMD8,MUSNIGG00002219,2.635827847,6.215316447,0.040196734,0.999566779,UP
LRIT1,MUSNIGG00002313,3.902096477,14.95023728,0.028961712,0.999566779,UP
PPP1R3C,MUSNIGG00002492,2.974502337,7.859853037,0.024002117,0.999566779,UP
C10ORF12,MUSNIGG00002572,2.038326143,4.107686683,0.042226953,0.999566779,UP
MKI67,MUSNIGG00003090,3.568062891,11.86025308,0.004927957,0.768304985,UP
RIMBP3,MUSNIGG00003960,5.003999279,32.08882992,0.027698276,0.999566779,UP
EMILIN2,MUSNIGG00004142,3.475890626,11.12621224,0.006240943,0.847639153,UP
GREB1L,MUSNIGG00004190,2.664277339,6.339096977,0.038770107,0.999566779,UP
FAM59A,MUSNIGG00004307,2.660010612,6.320376985,0.026265277,0.999566779,UP
SERPINB8,MUSNIGG00004678,3.888873419,14.81383654,0.005998392,0.847639153,UP
ZNF430,MUSNIGG00006903,3.535505679,11.5956009,0.00846798,0.859062739,UP
ZFHX3,MUSNIGG00008154,2.71516522,6.566684855,0.026419861,0.999566779,UP
ZNF821,MUSNIGG00008167,3.546065503,11.68078642,0.032768497,0.999566779,UP
TNRC6C,MUSNIGG00008680,3.919732115,15.13411192,0.007592839,0.859062739,UP
UTP18,MUSNIGG00009379,2.894056231,7.433575124,0.023756648,0.999566779,UP
GAS2L2,MUSNIGG00009560,5.233614306,37.62485993,0.037859902,0.999566779,UP
EVI2B,MUSNIGG00009634,2.812245447,7.023769239,0.033073882,0.999566779,UP
TENM3,MUSNIGG00010426,3.260788444,9.58506652,0.003065889,0.622147595,UP
STOX2,MUSNIGG00010442,3.141914162,8.826944716,0.029023667,0.999566779,UP
PLIN4,MUSNIGG00011015,5.715947412,52.56196885,0.019306084,0.999566779,UP
HSD11B1L,MUSNIGG00011042,16.23972949,77383.02428,0.000590942,0.24189385,UP
DNMT1,MUSNIGG00011201,17.64871596,205491.0389,3.51E-05,0.049255856,UP
NWD1,MUSNIGG00011452,3.393886091,10.51142305,0.031763224,0.999566779,UP
UBA52,MUSNIGG00011518,5.024994997,32.55923723,0.032233915,0.999566779,UP
LAMB2,MUSNIGG00011656,4.925914573,30.39821222,0.011275278,0.859062739,UP
BSN,MUSNIGG00011671,3.36837891,10.32721191,0.045093269,0.999566779,UP
IQSEC1,MUSNIGG00012181,4.816914192,28.18614347,0.042646146,0.999566779,UP
SLC22A13,MUSNIGG00012298,5.202795661,36.82964691,0.008804747,0.859062739,UP
SLC7A14,MUSNIGG00013155,3.754352294,13.49499273,0.009690707,0.859062739,UP
MECOM,MUSNIGG00013171,4.524813955,23.01996851,0.000282158,0.137111314,UP
IGSF10,MUSNIGG00013357,2.803786109,6.982705411,0.002676311,0.607062942,UP
GRK7,MUSNIGG00013469,3.77962262,13.73345411,0.010621417,0.859062739,UP
COL8A1,MUSNIGG00013733,3.019867361,8.1109301,0.026947399,0.999566779,UP
CKAP4,MUSNIGG00014948,3.99645745,15.96076006,0.014950217,0.999566779,UP
NA,MUSNIGG00015935,4.014571237,16.16241903,0.021688376,0.999566779,UP
SPRYD4,MUSNIGG00016213,4.13164384,17.5286604,0.009227886,0.859062739,UP
USP15,MUSNIGG00016304,4.364262655,20.59557722,0.01535021,0.999566779,UP
FOXJ2,MUSNIGG00016350,5.227120723,37.45589065,0.021922542,0.999566779,UP
NTF3,MUSNIGG00016415,4.275280469,19.36366948,0.021249398,0.999566779,UP
VIM,MUSNIGG00016903,5.636460702,49.74434775,0.04842615,0.999566779,UP
HSPA14,MUSNIGG00016934,2.932532232,7.634492365,0.034087506,0.999566779,UP
SPATA13,MUSNIGG00017162,2.464785812,5.520449765,0.046091674,0.999566779,UP
SPATA13,MUSNIGG00017162,2.464785812,5.520449765,0.046091674,0.999566779,UP
TSC22D1,MUSNIGG00017512,4.302122206,19.72730817,0.001012477,0.361021518,UP
PCDH17,MUSNIGG00017613,3.155421534,8.909975928,0.01013173,0.859062739,UP
BORA,MUSNIGG00017748,3.578435989,11.9458366,0.006005389,0.847639153,UP
LMO7,MUSNIGG00017774,3.100375602,8.57642026,0.047472686,0.999566779,UP
SLITRK5,MUSNIGG00017864,3.355384883,10.23461468,0.015381004,0.999566779,UP
KIAA0947,MUSNIGG00018358,2.922903002,7.58370582,0.042931042,0.999566779,UP
GDNF,MUSNIGG00018679,5.618178114,49.11793875,0.011928379,0.880921263,UP
PELO,MUSNIGG00018786,3.448325724,10.91564688,0.025484494,0.999566779,UP
TCOF1,MUSNIGG00018861,3.01539771,8.0858403,0.009883546,0.859062739,UP
TRPC7,MUSNIGG00019336,3.13853347,8.806284602,0.036057457,0.999566779,UP
EGR1,MUSNIGG00019372,4.860973927,29.06022417,0.049915742,0.999566779,UP
PCDH12,MUSNIGG00019453,3.398292338,10.54357588,0.036066372,0.999566779,UP
ERAP2,MUSNIGG00019995,3.323655463,10.01198037,0.030433034,0.999566779,UP
ZNF608,MUSNIGG00020167,2.967432438,7.821430198,0.04254962,0.999566779,UP
